Disease,Symptoms,Description,Emergency
구내염,"침 흘림, 식사 거부, 입 냄새",고양이의 구강 염증으로 인해 통증과 식사 불편을 유발. 치과 치료 필요.,아니오
요로 결석,"배뇨 곤란, 혈뇨, 잦은 배뇨 시도","요로에 결석이 생겨 소변 배출이 어려운 상태. 심할 경우 치명적이며, 즉각적인 병원 방문 필요.",예
전염성 복막염(FIP),"복부 팽창, 열, 무기력",바이러스 감염으로 인해 복부에 액체가 차거나 전신 염증을 유발. 빠른 치료가 요구되는 치명적 질병.,예
호흡기 감염,"기침, 콧물, 재채기",바이러스 또는 세균 감염으로 인해 발생. 초기엔 치료가 간단하지만 방치 시 폐렴으로 악화될 가능성 있음.,아니오
설사,"잦은 배변, 물 같은 변, 탈수","기생충, 식이 문제, 스트레스 등으로 발생. 지속되면 탈수 위험이 커지므로 관찰 후 병원 방문 필요.",아니오
신부전,"식욕 부진, 구토, 잦은 물 마시기","신장 기능 저하로 인해 독소가 쌓이는 상태. 고령의 고양이에서 흔하며, 꾸준한 관리와 치료가 필수적.",아니오
귀 진드기,"귀 긁기, 검은 귀지, 귀 냄새",기생충 감염으로 인해 귀에 염증이 발생. 초기 치료가 간단하지만 방치 시 중이염으로 악화 가능.,아니오
체중 감소,"식욕 부진, 털 빠짐, 무기력","갑상선 기능 항진증, 소화기 문제 또는 암의 징후일 수 있음. 지속될 경우 병원 방문 필요.",아니오
당뇨병,"잦은 물 마시기, 잦은 소변, 체중 감소",고양이에서 흔히 발생하는 내분비 질환. 초기 진단 및 혈당 관리가 중요.,아니오
털뭉치 문제,"구토, 식욕 부진, 변비",고양이의 위장관에 털뭉치가 쌓여 발생. 식이섬유가 부족하거나 과도한 그루밍 시 흔히 나타남.,아니오
백선,"탈모, 피부 발적, 가려움",곰팡이 감염으로 인해 피부에 병변이 생기는 질환. 격리 및 항진균 치료가 필요.,아니오
심장사상충,"기침, 무기력, 체중 감소",모기에 의해 전염되는 기생충으로 심장 및 폐 기능을 저하시킴. 예방약 필수.,예
백혈병 바이러스(FeLV),"식욕 감소, 체중 감소, 잇몸 창백",면역 체계를 약화시키는 치명적 바이러스. 예방 접종 권장.,아니오
